NEW RUN - Noise Mode:none, Dupes:False2025-05-13 13:14:49,011 | INFO | __main__ | Experiment started.
2025-05-13 13:14:50,330 | INFO | __main__ | Using cuda device
2025-05-13 13:14:50,330 | INFO | __main__ | False
2025-05-13 13:14:50,330 | INFO | __main__ | 

=== Training with noise_mode = 'none' ===
2025-05-13 13:14:53,127 | INFO | vqa_data | DUPES IS : False
2025-05-13 13:15:06,759 | INFO | vqa_data | NO DUPES: 181
2025-05-13 13:15:16,843 | INFO | model | The accuracy of the model is 0.4074074074074074
2025-05-13 13:15:16,849 | INFO | model | Starting training run: 1
2025-05-13 13:15:34,199 | INFO | model | Epoch 1/30, Average Loss: 6.7403
2025-05-13 13:15:51,327 | INFO | model | Epoch 2/30, Average Loss: 4.9593
2025-05-13 13:16:08,814 | INFO | model | Epoch 3/30, Average Loss: 4.0737
2025-05-13 13:16:25,932 | INFO | model | Epoch 4/30, Average Loss: 3.3138
2025-05-13 13:16:43,019 | INFO | model | Epoch 5/30, Average Loss: 2.6651
2025-05-13 13:17:00,116 | INFO | model | Epoch 6/30, Average Loss: 2.2020
2025-05-13 13:17:17,548 | INFO | model | Epoch 7/30, Average Loss: 1.7602
2025-05-13 13:17:34,656 | INFO | model | Epoch 8/30, Average Loss: 1.4150
2025-05-13 13:17:51,754 | INFO | model | Epoch 9/30, Average Loss: 1.0918
2025-05-13 13:18:11,060 | INFO | model | Epoch 10/30, Average Loss: 0.9341
2025-05-13 13:18:30,825 | INFO | model | Epoch 11/30, Average Loss: 0.6524
2025-05-13 13:18:47,936 | INFO | model | Epoch 12/30, Average Loss: 0.5505
2025-05-13 13:19:05,395 | INFO | model | Epoch 13/30, Average Loss: 0.5279
2025-05-13 13:19:22,544 | INFO | model | Epoch 14/30, Average Loss: 0.4103
2025-05-13 13:19:39,650 | INFO | model | Epoch 15/30, Average Loss: 0.3927
2025-05-13 13:19:56,729 | INFO | model | Epoch 16/30, Average Loss: 0.2818
2025-05-13 13:20:14,163 | INFO | model | Epoch 17/30, Average Loss: 0.2073
2025-05-13 13:20:31,280 | INFO | model | Epoch 18/30, Average Loss: 0.1528
2025-05-13 13:20:48,436 | INFO | model | Epoch 19/30, Average Loss: 0.1581
2025-05-13 13:21:05,899 | INFO | model | Epoch 20/30, Average Loss: 0.2265
2025-05-13 13:21:23,100 | INFO | model | Epoch 21/30, Average Loss: 0.1419
2025-05-13 13:21:40,212 | INFO | model | Epoch 22/30, Average Loss: 0.1564
2025-05-13 13:21:57,312 | INFO | model | Epoch 23/30, Average Loss: 0.1242
2025-05-13 13:22:14,775 | INFO | model | Epoch 24/30, Average Loss: 0.1277
2025-05-13 13:22:31,919 | INFO | model | Epoch 25/30, Average Loss: 0.1036
2025-05-13 13:22:49,045 | INFO | model | Epoch 26/30, Average Loss: 0.1330
2025-05-13 13:23:06,571 | INFO | model | Epoch 27/30, Average Loss: 0.0818
2025-05-13 13:23:23,760 | INFO | model | Epoch 28/30, Average Loss: 0.1083
2025-05-13 13:23:40,868 | INFO | model | Epoch 29/30, Average Loss: 0.1642
2025-05-13 13:23:57,985 | INFO | model | Epoch 30/30, Average Loss: 0.0720
2025-05-13 13:24:07,625 | INFO | model | The accuracy of the model is 0.46296296296296297
2025-05-13 13:24:07,781 | INFO | __main__ | 

=== Training with noise_mode = 'text' ===
2025-05-13 13:24:09,138 | INFO | vqa_data | DUPES IS : False
2025-05-13 13:24:22,614 | INFO | vqa_data | NO DUPES: 181
2025-05-13 13:24:32,315 | INFO | model | The accuracy of the model is 0.3888888888888889
2025-05-13 13:24:32,316 | INFO | model | Starting training run: 1
