NEW RUN - Noise Mode:none, Dupes:False2025-05-13 06:17:15,517 | INFO | __main__ | Experiment started.
2025-05-13 06:17:16,766 | INFO | __main__ | Using cuda device
2025-05-13 06:17:16,766 | INFO | __main__ | False
2025-05-13 06:17:16,766 | INFO | __main__ | 

=== Training with noise_mode = 'none' ===
2025-05-13 06:17:18,943 | INFO | vqa_data | DUPES IS : False
2025-05-13 06:17:32,530 | INFO | vqa_data | NO DUPES: 181
2025-05-13 06:17:42,611 | INFO | model | The accuracy of the model is 0.5185185185185185
2025-05-13 06:17:42,617 | INFO | model | Starting training run: 1
2025-05-13 06:18:00,170 | INFO | model | Epoch 1/30, Average Loss: 5.9848
2025-05-13 06:18:21,380 | INFO | model | Epoch 2/30, Average Loss: 4.6739
2025-05-13 06:18:39,265 | INFO | model | Epoch 3/30, Average Loss: 3.8500
2025-05-13 06:18:56,443 | INFO | model | Epoch 4/30, Average Loss: 2.8445
2025-05-13 06:19:13,906 | INFO | model | Epoch 5/30, Average Loss: 2.2988
2025-05-13 06:19:31,129 | INFO | model | Epoch 6/30, Average Loss: 2.0151
2025-05-13 06:19:48,294 | INFO | model | Epoch 7/30, Average Loss: 1.6095
2025-05-13 06:20:05,809 | INFO | model | Epoch 8/30, Average Loss: 1.3150
2025-05-13 06:20:23,065 | INFO | model | Epoch 9/30, Average Loss: 0.8950
2025-05-13 06:20:40,255 | INFO | model | Epoch 10/30, Average Loss: 0.7952
2025-05-13 06:20:57,452 | INFO | model | Epoch 11/30, Average Loss: 0.6584
2025-05-13 06:21:14,996 | INFO | model | Epoch 12/30, Average Loss: 0.4709
2025-05-13 06:21:32,231 | INFO | model | Epoch 13/30, Average Loss: 0.3735
2025-05-13 06:21:49,397 | INFO | model | Epoch 14/30, Average Loss: 0.2998
2025-05-13 06:22:06,818 | INFO | model | Epoch 15/30, Average Loss: 0.2214
2025-05-13 06:22:23,998 | INFO | model | Epoch 16/30, Average Loss: 0.2222
2025-05-13 06:22:41,023 | INFO | model | Epoch 17/30, Average Loss: 0.2347
2025-05-13 06:22:58,070 | INFO | model | Epoch 18/30, Average Loss: 0.1537
2025-05-13 06:23:15,521 | INFO | model | Epoch 19/30, Average Loss: 0.1387
2025-05-13 06:23:32,622 | INFO | model | Epoch 20/30, Average Loss: 0.1212
2025-05-13 06:23:49,668 | INFO | model | Epoch 21/30, Average Loss: 0.1326
2025-05-13 06:24:06,957 | INFO | model | Epoch 22/30, Average Loss: 0.1677
2025-05-13 06:24:24,108 | INFO | model | Epoch 23/30, Average Loss: 0.1434
2025-05-13 06:24:41,164 | INFO | model | Epoch 24/30, Average Loss: 0.1218
2025-05-13 06:24:58,240 | INFO | model | Epoch 25/30, Average Loss: 0.1111
2025-05-13 06:25:15,687 | INFO | model | Epoch 26/30, Average Loss: 0.1368
2025-05-13 06:25:32,811 | INFO | model | Epoch 27/30, Average Loss: 0.1306
2025-05-13 06:25:49,804 | INFO | model | Epoch 28/30, Average Loss: 0.0727
2025-05-13 06:26:07,134 | INFO | model | Epoch 29/30, Average Loss: 0.0997
2025-05-13 06:26:24,203 | INFO | model | Epoch 30/30, Average Loss: 0.0852
2025-05-13 06:26:33,301 | INFO | model | The accuracy of the model is 0.6296296296296297
