NEW RUN - Noise Mode:none, Dupes:True2025-05-13 10:08:17,777 | INFO | __main__ | Experiment started.
2025-05-13 10:08:19,067 | INFO | __main__ | Using cuda device
2025-05-13 10:08:19,067 | INFO | __main__ | True
2025-05-13 10:08:19,067 | INFO | __main__ | 

=== Training with noise_mode = 'none' ===
2025-05-13 10:08:21,186 | INFO | vqa_data | DUPES IS : True
2025-05-13 10:08:21,190 | INFO | vqa_data | NO DUPES: 940
2025-05-13 10:08:43,601 | INFO | model | The accuracy of the model is 0.48
2025-05-13 10:08:43,607 | INFO | model | Starting training run: 1
2025-05-13 10:10:13,789 | INFO | model | Epoch 1/30, Average Loss: 5.2535
2025-05-13 10:11:43,418 | INFO | model | Epoch 2/30, Average Loss: 3.4882
2025-05-13 10:13:13,257 | INFO | model | Epoch 3/30, Average Loss: 2.7577
2025-05-13 10:14:42,845 | INFO | model | Epoch 4/30, Average Loss: 2.3072
2025-05-13 10:16:12,303 | INFO | model | Epoch 5/30, Average Loss: 1.9144
2025-05-13 10:17:41,449 | INFO | model | Epoch 6/30, Average Loss: 1.6717
2025-05-13 10:19:15,636 | INFO | model | Epoch 7/30, Average Loss: 1.3357
2025-05-13 10:20:44,851 | INFO | model | Epoch 8/30, Average Loss: 1.1738
2025-05-13 10:22:14,101 | INFO | model | Epoch 9/30, Average Loss: 0.9819
2025-05-13 10:23:43,001 | INFO | model | Epoch 10/30, Average Loss: 0.8786
2025-05-13 10:25:12,104 | INFO | model | Epoch 11/30, Average Loss: 0.8144
2025-05-13 10:26:40,992 | INFO | model | Epoch 12/30, Average Loss: 0.6604
2025-05-13 10:28:12,015 | INFO | model | Epoch 13/30, Average Loss: 0.6093
2025-05-13 10:29:43,656 | INFO | model | Epoch 14/30, Average Loss: 0.6214
2025-05-13 10:31:12,517 | INFO | model | Epoch 15/30, Average Loss: 0.5666
2025-05-13 10:32:41,359 | INFO | model | Epoch 16/30, Average Loss: 0.5145
2025-05-13 10:34:10,336 | INFO | model | Epoch 17/30, Average Loss: 0.5343
2025-05-13 10:35:39,018 | INFO | model | Epoch 18/30, Average Loss: 0.5298
2025-05-13 10:37:08,045 | INFO | model | Epoch 19/30, Average Loss: 0.4569
2025-05-13 10:38:41,070 | INFO | model | Epoch 20/30, Average Loss: 0.4870
2025-05-13 10:40:10,137 | INFO | model | Epoch 21/30, Average Loss: 0.4980
2025-05-13 10:41:39,047 | INFO | model | Epoch 22/30, Average Loss: 0.4500
2025-05-13 10:43:08,309 | INFO | model | Epoch 23/30, Average Loss: 0.4462
2025-05-13 10:44:36,831 | INFO | model | Epoch 24/30, Average Loss: 0.4106
2025-05-13 10:46:05,883 | INFO | model | Epoch 25/30, Average Loss: 0.4030
2025-05-13 10:47:34,624 | INFO | model | Epoch 26/30, Average Loss: 0.4430
2025-05-13 10:49:07,866 | INFO | model | Epoch 27/30, Average Loss: 0.4470
2025-05-13 10:50:36,478 | INFO | model | Epoch 28/30, Average Loss: 0.4165
2025-05-13 10:52:05,467 | INFO | model | Epoch 29/30, Average Loss: 0.4098
2025-05-13 10:53:34,291 | INFO | model | Epoch 30/30, Average Loss: 0.4128
2025-05-13 10:53:55,417 | INFO | model | The accuracy of the model is 0.528
