NEW RUN - Noise Mode:none, Dupes:True2025-05-13 12:27:18,028 | INFO | __main__ | Experiment started.
2025-05-13 12:27:19,318 | INFO | __main__ | Using cuda device
2025-05-13 12:27:19,318 | INFO | __main__ | True
2025-05-13 12:27:19,318 | INFO | __main__ | 

=== Training with noise_mode = 'none' ===
2025-05-13 12:27:21,596 | INFO | vqa_data | DUPES IS : True
2025-05-13 12:27:21,600 | INFO | vqa_data | NO DUPES: 940
2025-05-13 12:27:44,026 | INFO | model | The accuracy of the model is 0.36
2025-05-13 12:27:44,031 | INFO | model | Starting training run: 1
2025-05-13 12:29:18,671 | INFO | model | Epoch 1/30, Average Loss: 5.2440
2025-05-13 12:30:48,666 | INFO | model | Epoch 2/30, Average Loss: 3.5055
2025-05-13 12:32:19,172 | INFO | model | Epoch 3/30, Average Loss: 2.7741
2025-05-13 12:33:49,162 | INFO | model | Epoch 4/30, Average Loss: 2.3701
2025-05-13 12:35:19,549 | INFO | model | Epoch 5/30, Average Loss: 1.9936
2025-05-13 12:36:49,459 | INFO | model | Epoch 6/30, Average Loss: 1.7241
2025-05-13 12:38:24,054 | INFO | model | Epoch 7/30, Average Loss: 1.4825
2025-05-13 12:39:54,365 | INFO | model | Epoch 8/30, Average Loss: 1.1664
2025-05-13 12:41:24,378 | INFO | model | Epoch 9/30, Average Loss: 0.9769
2025-05-13 12:42:54,025 | INFO | model | Epoch 10/30, Average Loss: 0.8682
2025-05-13 12:44:24,010 | INFO | model | Epoch 11/30, Average Loss: 0.7699
2025-05-13 12:45:53,468 | INFO | model | Epoch 12/30, Average Loss: 0.6882
2025-05-13 12:47:22,859 | INFO | model | Epoch 13/30, Average Loss: 0.6552
2025-05-13 12:48:56,409 | INFO | model | Epoch 14/30, Average Loss: 0.6259
2025-05-13 12:50:25,343 | INFO | model | Epoch 15/30, Average Loss: 0.5474
2025-05-13 12:51:53,796 | INFO | model | Epoch 16/30, Average Loss: 0.5625
2025-05-13 12:53:22,762 | INFO | model | Epoch 17/30, Average Loss: 0.5360
2025-05-13 12:54:51,140 | INFO | model | Epoch 18/30, Average Loss: 0.5196
2025-05-13 12:56:19,966 | INFO | model | Epoch 19/30, Average Loss: 0.5137
2025-05-13 12:57:48,419 | INFO | model | Epoch 20/30, Average Loss: 0.4716
2025-05-13 12:59:21,800 | INFO | model | Epoch 21/30, Average Loss: 0.5052
2025-05-13 13:00:50,290 | INFO | model | Epoch 22/30, Average Loss: 0.5349
2025-05-13 13:02:18,954 | INFO | model | Epoch 23/30, Average Loss: 0.4657
2025-05-13 13:03:47,556 | INFO | model | Epoch 24/30, Average Loss: 0.4576
2025-05-13 13:05:16,507 | INFO | model | Epoch 25/30, Average Loss: 0.4539
2025-05-13 13:06:45,059 | INFO | model | Epoch 26/30, Average Loss: 0.4695
2025-05-13 13:08:17,004 | INFO | model | Epoch 27/30, Average Loss: 0.4119
2025-05-13 13:09:47,482 | INFO | model | Epoch 28/30, Average Loss: 0.4258
2025-05-13 13:11:16,749 | INFO | model | Epoch 29/30, Average Loss: 0.3913
2025-05-13 13:12:45,521 | INFO | model | Epoch 30/30, Average Loss: 0.4639
2025-05-13 13:13:07,044 | INFO | model | The accuracy of the model is 0.56
